keys,ru,en
"play.menu","ПРОДОЛЖИТЬ","CONTINUE"
"start.over.menu","ИГРАТЬ СНОВА","PLAY OVER"
"settings.menu","НАСТРОЙКИ","SETTINGS"
"exit.menu","ВЫЙТИ","EXIT"
"engine.os.menu","Двигатель","Engine"
"сhassis.os.menu","Шасси","Chassis"
"brakes.os.menu","Тормоза","Brakes"
"gearbox.os.menu","Коробка передач","Gearbox"
"garage.os.menu","Гараж","Garage"
"player.profile.os.menu","Профиль Игрока","Player Profile"
"cost.os.menu","Стоимость","Cost"
"statistics.os.menu","Статистика","Statistics"
"speed.os.menu","Скорость","Speed"
"acceleration.os.menu","Ускорение","Acceleration"
"management.os.menu","Управление","Management"
"braking.os.menu","Торможение","Braking"
"back.garage","Назад","Back"
"select.garage","Выбрать","Select"
"audio.settings","АУДИО","AUDIO"
"sound.volume.settings","Громкость звука:","Sound Volume:"
"language.settings","ЯЗЫК","LANGUAGE"
"change.language.settings","Изменить язык:","Change Language:"
"english.settings","Английский","English"
"russian.settings","Русский","Russian"
"other.options.settings","ДРУГИЕ ОПЦИИ","OTHER OPTIONS"
"show.fps.counter.settings","Показать ФПС счетчик:","Show FPS counter:"
"save.settings","CОХРАНИТЬ","SAVE"
